,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,PM2.5_10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,date
213,20,1.7,0.75,0.3,24,19,43,4.8,31,12,14,NR,82,3.2,2,28,46,1.2,0.4,2014/11/14
214,21,1.8,1,0.43,16,24,41,12,24,4,6,NR,76,3.7,2.2,228,206,1.2,0.6,2014/11/15
215,21,1.6,0.2,0.03,1.7,4.9,6.6,33,25,23,14,NR,73,1.5,1.7,53,55,1.6,1.5,2014/11/16
216,20,1.7,0.23,0.07,1.6,6.1,7.7,32,25,-1,-1,NR,79,1.6,1.7,34,76,2.4,0.4,2014/11/17
217,19,1.7,0.37,0.06,1.4,4.8,6.3,42,28,47,47,NR,68,1.2,1.8,59,58,3,2.2,2014/11/18
218,20,1.8,0.93,0.42,13,25,38,11,45,8,14,NR,68,3.7,2.2,21,338,0.8,0.2,2014/11/19
219,19,1.7,0.4,0.16,8.8,15,24,15,20,25,20,NR,70,1,1.8,57,49,1.7,1.3,2014/11/20
220,19,1.8,0.68,0.15,3.5,11,14,14,18,0,0,NR,78,1.3,2,55,335,2.5,0.8,2014/12/1
221,14,1.7,0.53,0.11,3.1,12,15,17,12,14,21,NR,86,1.3,1.9,74,92,2.3,1.2,2014/12/2
222,18,1.9,0.99,0.39,27,27,53,5.6,26,13,20,NR,81,4.5,2.3,46,33,1,0.5,2014/12/3
223,14,-0.2,0.45,0.02,3,14,17,17,8,0,0,0.2,86,0.1,-0.2,63,298,2.2,1.7,2014/12/4
224,12,1.7,0.31,0.05,1.9,5.1,7,27,32,27,21,NR,66,0.1,1.8,62,75,2.2,2.2,2014/12/5
225,13,1.7,0.39,0.12,5.3,12,18,20,14,2,1,NR,61,2.2,1.8,61,61,1.9,1.2,2014/12/6
226,16,1.8,0.89,0.4,14,22,36,9.5,3,0,3,NR,71,2.5,2.2,45,36,1.1,0.8,2014/12/7
227,16,1.7,0.24,0.04,2.8,6.9,9.7,30,34,23,24,NR,78,0.7,1.7,54,52,3.2,2.7,2014/12/8
228,17,1.8,0.54,0.18,5.3,16,21,21,7,3,13,NR,75,2.3,1.9,47,52,1.9,1,2014/12/9
229,19,1.7,0.55,0.22,6,18,24,25,22,6,12,NR,77,2,1.9,74,58,2.1,1.6,2014/12/10
230,19,1.7,0.27,0.09,2.3,8.4,11,21,13,1,1,NR,82,0.7,1.8,75,69,2.6,1.4,2014/12/11
231,14,1.8,0.44,0.11,1.2,9.3,11,23,15,3,4,NR,81,0.5,1.9,82,91,2.7,1.3,2014/12/12
232,13,1.7,0.35,0.06,1.4,5.7,7,28,64,23,17,NR,61,2.9,1.8,67,57,3.5,2.6,2014/12/13
233,16,1.8,0.45,0.11,3.1,11,14,26,40,17,14,NR,66,2,1.9,49,33,1.1,0.7,2014/12/14
234,18,1.8,0.69,0.24,11,24,34,16,55,31,27,NR,68,3.3,2,49,72,1.3,0.6,2014/12/15
235,15,1.8,0.35,0.1,1.8,9.9,12,26,32,16,21,NR,74,2.3,1.9,89,93,3.3,1.6,2014/12/16
236,10,1.8,0.34,0.06,2.5,6.8,9.3,29,54,21,23,NR,51,5.5,1.8,61,61,4.9,4,2014/12/17
237,12,1.8,0.65,0.35,18,24,43,6.8,36,14,8,NR,62,4.8,2.1,54,52,0.9,0.6,2014/12/18
238,15,1.8,0.98,0.45,22,33,55,6.5,44,17,24,NR,69,5,2.3,31,100,2.1,0.5,2014/12/19
239,14,1.7,0.2,0.09,1.4,7.6,9,27,17,2,8,NR,81,2,1.8,66,106,2.8,2,2014/12/20
